epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.374,1.09584,1.66284,1.36845,0.51068,0.25695,0.14288,0.10691,0.96218,1.09042,1.41927,8.50816e-05,8.50816e-05,8.50816e-05
2,1062.82,0.79983,1.0311,1.17601,0.60333,0.24484,0.17861,0.13688,0.88588,0.96146,1.29247,0.000167041,0.000167041,0.000167041
3,1557.27,0.75475,0.9459,1.14826,0.58706,0.23973,0.19866,0.15624,0.86706,0.94069,1.29101,0.000245621,0.000245621,0.000245621
4,2051.36,0.72571,0.89216,1.1332,0.71858,0.2625,0.19667,0.15284,0.83473,0.97117,1.27459,0.000240794,0.000240794,0.000240794
5,2545.87,0.70952,0.87569,1.12387,0.72351,0.22155,0.20947,0.16312,0.83484,0.86568,1.29148,0.000235725,0.000235725,0.000235725
6,3039.31,0.6981,0.85641,1.11929,0.52379,0.30651,0.22757,0.18544,0.78496,0.85728,1.25058,0.000230656,0.000230656,0.000230656
7,3539.2,0.6784,0.81156,1.10684,0.48505,0.34682,0.29483,0.24241,0.77966,0.82826,1.2444,0.000225587,0.000225587,0.000225587
8,4034.21,0.6809,0.80132,1.10814,0.62512,0.29343,0.28577,0.22591,0.78977,0.87226,1.24712,0.000220518,0.000220518,0.000220518
9,4532.89,0.66148,0.77411,1.09737,0.43626,0.352,0.30198,0.24607,0.78074,0.83103,1.2451,0.00021545,0.00021545,0.00021545
10,5028.44,0.64537,0.73515,1.08916,0.57403,0.30261,0.26319,0.20883,0.77353,0.82086,1.23822,0.000210381,0.000210381,0.000210381
11,5520.19,0.65262,0.75353,1.09241,0.58166,0.29582,0.29278,0.24094,0.74215,0.80793,1.22084,0.000205312,0.000205312,0.000205312
12,6014.48,0.64061,0.72304,1.08865,0.49014,0.33648,0.31196,0.24864,0.77974,0.79291,1.25056,0.000200243,0.000200243,0.000200243
13,6520.58,0.63583,0.70448,1.08314,0.66331,0.31309,0.34828,0.28615,0.73616,0.78776,1.22507,0.000195174,0.000195174,0.000195174
14,7015.82,0.62146,0.70245,1.07551,0.40183,0.3672,0.29241,0.2378,0.74279,0.82569,1.2235,0.000190106,0.000190106,0.000190106
15,7522.11,0.62026,0.69414,1.073,0.58746,0.32128,0.31074,0.25208,0.74494,0.80425,1.22041,0.000185037,0.000185037,0.000185037
16,8030.27,0.61498,0.67263,1.07266,0.43126,0.404,0.29703,0.245,0.74826,0.7833,1.21854,0.000179968,0.000179968,0.000179968
17,8519.23,0.60463,0.65138,1.06605,0.48325,0.39474,0.33744,0.27874,0.73598,0.76243,1.21637,0.000174899,0.000174899,0.000174899
18,9008.33,0.59989,0.64152,1.06292,0.37475,0.44109,0.35542,0.29083,0.74466,0.78701,1.22822,0.00016983,0.00016983,0.00016983
19,9517.25,0.59157,0.63271,1.05559,0.55498,0.36671,0.39339,0.32144,0.75154,0.84812,1.23316,0.000164762,0.000164762,0.000164762
20,10007.3,0.58915,0.62456,1.05578,0.42287,0.46498,0.3705,0.3052,0.74198,0.76328,1.23133,0.000159693,0.000159693,0.000159693
21,10502,0.57851,0.60416,1.04656,0.46621,0.4131,0.35872,0.28951,0.73902,0.77972,1.22607,0.000154624,0.000154624,0.000154624
22,10991,0.57594,0.59884,1.04871,0.36016,0.47945,0.37854,0.31172,0.73336,0.75508,1.21449,0.000149555,0.000149555,0.000149555
23,11483.6,0.56815,0.58906,1.04178,0.45122,0.40281,0.37988,0.3053,0.74821,0.76976,1.22994,0.000144486,0.000144486,0.000144486
24,11978.2,0.56055,0.57472,1.03407,0.46245,0.37279,0.38977,0.32608,0.73701,0.74437,1.23915,0.000139418,0.000139418,0.000139418
25,12477.6,0.55224,0.55797,1.03053,0.58251,0.40115,0.38177,0.31326,0.7501,0.74321,1.24225,0.000134349,0.000134349,0.000134349
26,12981.8,0.5381,0.55393,1.02024,0.38703,0.42052,0.38245,0.30937,0.74421,0.74022,1.23191,0.00012928,0.00012928,0.00012928
27,13498.7,0.54336,0.54226,1.0216,0.51812,0.43918,0.43102,0.35462,0.73756,0.72904,1.24242,0.000124211,0.000124211,0.000124211
28,13993.1,0.52848,0.52821,1.01221,0.37555,0.47458,0.39384,0.31974,0.7535,0.7461,1.25142,0.000119142,0.000119142,0.000119142
29,14489.5,0.51075,0.50214,1.00146,0.36287,0.47439,0.38354,0.30937,0.74946,0.74106,1.25337,0.000114074,0.000114074,0.000114074
30,14980.8,0.51061,0.4983,1.00105,0.4092,0.5305,0.431,0.35113,0.76945,0.7259,1.2793,0.000109005,0.000109005,0.000109005
31,15474.1,0.49909,0.4838,0.99226,0.42528,0.49673,0.4344,0.3623,0.76391,0.75456,1.26925,0.000103936,0.000103936,0.000103936
32,15962.9,0.49589,0.46975,0.98756,0.55898,0.38645,0.41229,0.34398,0.76039,0.74944,1.27289,9.88672e-05,9.88672e-05,9.88672e-05
33,16460.2,0.49234,0.47312,0.98471,0.3637,0.47948,0.40828,0.33608,0.75987,0.74704,1.28451,9.37984e-05,9.37984e-05,9.37984e-05
34,16957.5,0.47782,0.45245,0.97387,0.40105,0.51852,0.42163,0.34,0.75394,0.73914,1.2766,8.87296e-05,8.87296e-05,8.87296e-05
35,17455.8,0.46965,0.43924,0.96706,0.44622,0.48343,0.43471,0.35663,0.76442,0.73533,1.31004,8.36608e-05,8.36608e-05,8.36608e-05
36,17948.6,0.4624,0.4284,0.96496,0.46812,0.50468,0.46641,0.38003,0.76553,0.73728,1.32424,7.8592e-05,7.8592e-05,7.8592e-05
37,18438.3,0.45438,0.41731,0.95658,0.43827,0.47473,0.43689,0.35376,0.76927,0.73379,1.32112,7.35232e-05,7.35232e-05,7.35232e-05
38,18938.3,0.45239,0.41365,0.95425,0.44028,0.51854,0.42289,0.34404,0.76721,0.75857,1.30537,6.84544e-05,6.84544e-05,6.84544e-05
39,19430.4,0.44809,0.40773,0.9514,0.52865,0.4508,0.45092,0.36941,0.77042,0.76166,1.32812,6.33856e-05,6.33856e-05,6.33856e-05
40,19919.9,0.43138,0.3873,0.94025,0.51533,0.431,0.45259,0.37112,0.77901,0.7742,1.3402,5.83168e-05,5.83168e-05,5.83168e-05
41,20411.7,0.47772,0.40865,0.93689,0.43192,0.48522,0.46409,0.37643,0.77167,0.76131,1.31883,5.3248e-05,5.3248e-05,5.3248e-05
42,457.467,0.42733,0.38988,0.93643,0.44135,0.46821,0.42086,0.34441,0.77875,0.77474,1.33393,4.81792e-05,4.81792e-05,4.81792e-05
43,918.595,0.42236,0.37556,0.93432,0.41197,0.45085,0.4232,0.33983,0.77535,0.75929,1.34536,4.31104e-05,4.31104e-05,4.31104e-05
44,1370.66,0.41335,0.36718,0.92683,0.48892,0.40594,0.4314,0.35056,0.77087,0.77331,1.35002,3.80416e-05,3.80416e-05,3.80416e-05
45,1822.76,0.40194,0.35478,0.91996,0.37824,0.51477,0.42725,0.34628,0.77685,0.77087,1.35517,3.29728e-05,3.29728e-05,3.29728e-05
46,2275.91,0.39742,0.34938,0.91659,0.40043,0.47583,0.42225,0.34079,0.7646,0.77467,1.35833,2.7904e-05,2.7904e-05,2.7904e-05
47,2727.24,0.39653,0.3432,0.91424,0.39879,0.49328,0.44235,0.35886,0.77088,0.76644,1.36316,2.28352e-05,2.28352e-05,2.28352e-05
48,3185.4,0.38884,0.33045,0.90889,0.45233,0.46222,0.45387,0.36651,0.77599,0.75862,1.37455,1.77664e-05,1.77664e-05,1.77664e-05
49,3639.71,0.38842,0.33272,0.90985,0.41216,0.4902,0.44441,0.36218,0.7789,0.76727,1.37909,1.26976e-05,1.26976e-05,1.26976e-05
50,4098.63,0.38462,0.32451,0.90739,0.40922,0.45559,0.44459,0.36056,0.78111,0.77387,1.38264,7.6288e-06,7.6288e-06,7.6288e-06
51,460.352,0.44811,0.4125,0.95309,0.42806,0.44888,0.40799,0.33366,0.78412,0.77894,1.32136,8.50816e-05,8.50816e-05,8.50816e-05
52,915.105,0.48006,0.45031,0.9695,0.58615,0.39837,0.37737,0.3068,0.77659,0.80191,1.30132,0.000164791,0.000164791,0.000164791
53,1365.51,0.50122,0.48404,0.98101,0.38664,0.47467,0.41719,0.34285,0.78568,0.75373,1.30955,0.000238869,0.000238869,0.000238869
54,1816.01,0.50329,0.49362,0.98205,0.61612,0.38563,0.43308,0.33893,0.82597,0.7965,1.32719,0.000230656,0.000230656,0.000230656
55,2266.47,0.50479,0.49524,0.98403,0.56231,0.36401,0.36515,0.28686,0.78967,0.77649,1.3219,0.000222208,0.000222208,0.000222208
56,2716.68,0.49968,0.48362,0.97866,0.62488,0.38821,0.40975,0.31776,0.81469,0.7848,1.31913,0.00021376,0.00021376,0.00021376
57,3168.57,0.4958,0.46969,0.97552,0.5283,0.42447,0.42358,0.33435,0.793,0.75184,1.29994,0.000205312,0.000205312,0.000205312
58,3620.18,0.493,0.4719,0.97321,0.55497,0.37969,0.41064,0.33616,0.79033,0.78141,1.30656,0.000196864,0.000196864,0.000196864
59,4071.86,0.48601,0.46132,0.96786,0.50562,0.48212,0.44411,0.36251,0.79665,0.77876,1.34445,0.000188416,0.000188416,0.000188416
60,4523.22,0.46869,0.43771,0.95735,0.46017,0.45059,0.40336,0.32645,0.77964,0.75702,1.33764,0.000179968,0.000179968,0.000179968
61,4972.48,0.46644,0.42652,0.95261,0.38527,0.46339,0.41817,0.34235,0.78638,0.78059,1.34709,0.00017152,0.00017152,0.00017152
62,5422.75,0.45539,0.41865,0.94806,0.55594,0.37893,0.37021,0.29431,0.79785,0.82627,1.33884,0.000163072,0.000163072,0.000163072
63,5877.15,0.45072,0.40862,0.94242,0.38561,0.48789,0.41421,0.33,0.79456,0.79023,1.3606,0.000154624,0.000154624,0.000154624
64,6327.81,0.43941,0.39667,0.93625,0.49515,0.39663,0.39423,0.3108,0.78095,0.77439,1.34225,0.000146176,0.000146176,0.000146176
65,6782.2,0.43612,0.39372,0.93377,0.5146,0.39222,0.411,0.32175,0.78922,0.79054,1.35552,0.000137728,0.000137728,0.000137728
66,7236.6,0.43317,0.38488,0.93119,0.55717,0.42354,0.43333,0.3452,0.78309,0.78947,1.35025,0.00012928,0.00012928,0.00012928
67,7684.87,0.42008,0.36765,0.92518,0.45874,0.50549,0.42516,0.33836,0.77918,0.76625,1.36774,0.000120832,0.000120832,0.000120832
68,8132.79,0.41258,0.35413,0.91807,0.41123,0.51096,0.44578,0.34529,0.78203,0.77039,1.38407,0.000112384,0.000112384,0.000112384
69,8587.05,0.4073,0.35004,0.91352,0.50958,0.43184,0.42807,0.34207,0.79424,0.78581,1.41207,0.000103936,0.000103936,0.000103936
