epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.352,0.44811,0.4125,0.95309,0.42806,0.44888,0.40799,0.33366,0.78412,0.77894,1.32136,8.50816e-05,8.50816e-05,8.50816e-05
2,915.105,0.48006,0.45031,0.9695,0.58615,0.39837,0.37737,0.3068,0.77659,0.80191,1.30132,0.000164791,0.000164791,0.000164791
3,1365.51,0.50122,0.48404,0.98101,0.38664,0.47467,0.41719,0.34285,0.78568,0.75373,1.30955,0.000238869,0.000238869,0.000238869
4,1816.01,0.50329,0.49362,0.98205,0.61612,0.38563,0.43308,0.33893,0.82597,0.7965,1.32719,0.000230656,0.000230656,0.000230656
5,2266.47,0.50479,0.49524,0.98403,0.56231,0.36401,0.36515,0.28686,0.78967,0.77649,1.3219,0.000222208,0.000222208,0.000222208
6,2716.68,0.49968,0.48362,0.97866,0.62488,0.38821,0.40975,0.31776,0.81469,0.7848,1.31913,0.00021376,0.00021376,0.00021376
7,3168.57,0.4958,0.46969,0.97552,0.5283,0.42447,0.42358,0.33435,0.793,0.75184,1.29994,0.000205312,0.000205312,0.000205312
8,3620.18,0.493,0.4719,0.97321,0.55497,0.37969,0.41064,0.33616,0.79033,0.78141,1.30656,0.000196864,0.000196864,0.000196864
9,4071.86,0.48601,0.46132,0.96786,0.50562,0.48212,0.44411,0.36251,0.79665,0.77876,1.34445,0.000188416,0.000188416,0.000188416
10,4523.22,0.46869,0.43771,0.95735,0.46017,0.45059,0.40336,0.32645,0.77964,0.75702,1.33764,0.000179968,0.000179968,0.000179968
11,4972.48,0.46644,0.42652,0.95261,0.38527,0.46339,0.41817,0.34235,0.78638,0.78059,1.34709,0.00017152,0.00017152,0.00017152
12,5422.75,0.45539,0.41865,0.94806,0.55594,0.37893,0.37021,0.29431,0.79785,0.82627,1.33884,0.000163072,0.000163072,0.000163072
13,5877.15,0.45072,0.40862,0.94242,0.38561,0.48789,0.41421,0.33,0.79456,0.79023,1.3606,0.000154624,0.000154624,0.000154624
14,6327.81,0.43941,0.39667,0.93625,0.49515,0.39663,0.39423,0.3108,0.78095,0.77439,1.34225,0.000146176,0.000146176,0.000146176
15,6782.2,0.43612,0.39372,0.93377,0.5146,0.39222,0.411,0.32175,0.78922,0.79054,1.35552,0.000137728,0.000137728,0.000137728
16,7236.6,0.43317,0.38488,0.93119,0.55717,0.42354,0.43333,0.3452,0.78309,0.78947,1.35025,0.00012928,0.00012928,0.00012928
17,7684.87,0.42008,0.36765,0.92518,0.45874,0.50549,0.42516,0.33836,0.77918,0.76625,1.36774,0.000120832,0.000120832,0.000120832
18,8132.79,0.41258,0.35413,0.91807,0.41123,0.51096,0.44578,0.34529,0.78203,0.77039,1.38407,0.000112384,0.000112384,0.000112384
19,8587.05,0.4073,0.35004,0.91352,0.50958,0.43184,0.42807,0.34207,0.79424,0.78581,1.41207,0.000103936,0.000103936,0.000103936
